file_path,lines,size_kb,last_commit,owner,extension
"src/shared/services/collection/RawCardApiService.ts",111,4,"2025-08-09T15:14:35+02:00","Claude","ts"
"src/shared/services/collection/PsaCardApiService.ts",119,4,"2025-08-09T15:14:35+02:00","Claude","ts"
"src/shared/services/base/HttpClientInterface.ts",102,4,"2025-08-06T16:32:06+02:00","Claude","ts"
"src/shared/services/base/BaseApiService.ts",256,8,"2025-08-06T12:50:48+02:00","Claude","ts"
"src/shared/services/base/index.ts",9,4,"2025-08-06T12:50:48+02:00","Claude","ts"
"src/shared/services/base/UnifiedHttpClient.ts",130,4,"2025-08-06T16:32:06+02:00","Claude","ts"
"src/shared/services/base/ErrorHandlingService.ts",153,8,"2025-08-06T12:50:48+02:00","Claude","ts"
"src/shared/services/ExportApiService.ts",296,12,"2025-08-09T10:15:02+02:00","Claude","ts"
"src/shared/services/__tests__/UnifiedApiService.test.ts",41,4,"2025-08-09T18:59:05+02:00","Claude","ts"
"src/shared/services/UploadApiService.ts",21,4,"2025-08-06T12:39:38+02:00","Claude","ts"
"src/shared/contexts/ThemeContext.tsx",575,20,"2025-08-09T09:42:23+02:00","Claude","tsx"
"src/shared/contexts/DragDropContext.tsx",245,8,"2025-08-06T12:39:38+02:00","Claude","tsx"
"src/shared/contexts/theme/VisualThemeProvider.tsx",149,8,"2025-08-06T12:50:48+02:00","Claude","tsx"
"src/shared/contexts/theme/AccessibilityThemeProvider.tsx",139,4,"2025-08-06T12:50:48+02:00","Claude","tsx"
"src/shared/contexts/theme/index.ts",15,4,"2025-08-09T09:48:56+02:00","Claude","ts"
"src/shared/contexts/theme/UnifiedThemeProvider.tsx",799,24,"2025-08-06T12:50:48+02:00","Claude","tsx"
"src/shared/contexts/theme/LayoutThemeProvider.tsx",133,4,"2025-08-06T12:50:48+02:00","Claude","tsx"
"src/shared/contexts/theme/ComposedThemeProvider.tsx",304,12,"2025-08-06T16:21:35+02:00","Claude","tsx"
"src/shared/contexts/theme/AnimationThemeProvider.tsx",162,8,"2025-08-06T12:50:48+02:00","Claude","tsx"
"src/shared/contexts/theme/ThemeStorageProvider.tsx",306,8,"2025-08-06T12:50:48+02:00","Claude","tsx"
"src/shared/hooks/useExportOperations.ts",191,8,"2025-08-06T16:21:35+02:00","Claude","ts"
"src/shared/hooks/useItemActions.ts",216,8,"2025-08-09T09:25:14+02:00","Claude","ts"
"src/shared/hooks/usePaginatedSearch.ts",128,4,"2025-08-09T08:52:51+02:00","Claude","ts"
"src/shared/hooks/useCollectionImageExport.ts",101,4,"2025-08-06T12:39:38+02:00","Claude","ts"
"src/shared/hooks/useDbaExport.ts",519,16,"2025-08-06T19:28:29+02:00","Claude","ts"
"src/shared/hooks/useAuctionFormData.ts",464,16,"2025-08-09T10:04:38+02:00","Claude","ts"
"src/shared/hooks/useCollectionExport.ts",671,20,"2025-08-09T18:59:05+02:00","Claude","ts"
"src/shared/hooks/useCollectionOperations.ts",496,16,"2025-08-09T18:59:05+02:00","Claude","ts"
"src/shared/hooks/useThemeSwitch.ts",603,20,"2025-08-09T09:42:23+02:00","Claude","ts"
"src/shared/hooks/useImageUpload.ts",101,4,"2025-08-06T12:39:38+02:00","Claude","ts"
"src/shared/hooks/useFetchCollectionItems.ts",184,8,"2025-08-06T12:39:38+02:00","Claude","ts"
"src/shared/hooks/useAutocomplete.ts",388,12,"2025-08-09T18:59:05+02:00","Claude","ts"
"src/shared/hooks/useCollectionState.ts",345,12,"2025-08-06T12:39:38+02:00","Claude","ts"
